# Solution of general relativity problem
# Phi:, inverse r:, derivative of inverse r:, x:, y:
10.60000 1.00000 0.00000 -0.385338190771835 -0.922775421612805
10.80000 1.00000 0.00000 -0.194329906455342 -0.98093623006649
11.00000 1.00000 0.00000 0.00442569798804368 -0.999990206550703
11.20000 1.00000 0.00000 0.203004863818743 -0.979177729151319
11.40000 1.00000 0.00000 0.393490866347883 -0.919328525664679
11.60000 1.00000 0.00000 0.568289629767966 -0.822828594968714
11.80000 1.00000 0.00000 0.720432478990831 -0.69352508477713
12.00000 1.00000 0.00000 0.843853958732486 -0.536572918000444
12.20000 1.00000 0.00000 0.933633644074633 -0.358229282236839
12.40000 1.00000 0.00000 0.986192302278862 -0.165604175448322
12.60000 1.00000 0.00000 0.999434585501005 0.0336230472211243
12.80000 1.00000 0.00000 0.972832565697439 0.231509825101525
13.00000 1.00000 0.00000 0.907446781450202 0.420167036826628
13.20000 1.00000 0.00000 0.805883957640459 0.592073514707212
13.40000 1.00000 0.00000 0.67219308355348 0.740375889952438
13.60000 1.00000 0.00000 0.511703992453163 0.859161814856488
13.80000 1.00000 0.00000 0.330814877949064 0.943695669444099
14.00000 1.00000 0.00000 0.136737218207851 0.990607355694868
14.20000 1.00000 0.00000 -0.062791722924064 0.998026652716363
14.40000 1.00000 0.00000 -0.259817356213737 0.965657776549283
14.60000 1.00000 0.00000 -0.446484891412248 0.894791172140513
14.80000 1.00000 0.00000 -0.615352482954704 0.788252067375329
15.00000 1.00000 0.00000 -0.759687912858807 0.650287840157133
15.20000 1.00000 0.00000 -0.87373698301107 0.486398688853818
15.40000 1.00000 0.00000 -0.952952916887173 0.303118356745724
15.60000 1.00000 0.00000 -0.994177625183813 0.107753652299467
15.80000 1.00000 0.00000 -0.995767608873291 -0.0919068502276569
16.00000 1.00000 0.00000 -0.957659480323392 -0.287903316665041
16.20000 1.00000 0.00000 -0.881372490362246 -0.472421986398444
16.40000 1.00000 0.00000 -0.769947960542088 -0.638106682347928
16.60000 1.00000 0.00000 -0.627828035246408 -0.778352078534281
16.80000 1.00000 0.00000 -0.460678587411388 -0.887567033581491
17.00000 1.00000 0.00000 -0.275163338051624 -0.961397491879549
17.20000 1.00000 0.00000 -0.0786781947318685 -0.996900066041594
17.40000 1.00000 0.00000 0.120943599928446 -0.992659380470637
17.60000 1.00000 0.00000 0.315743754919213 -0.948844497918134
17.80000 1.00000 0.00000 0.497956202788388 -0.867202179485597
18.00000 1.00000 0.00000 0.660316708244056 -0.750987246771697
18.20000 1.00000 0.00000 0.796352470291904 -0.60483282240631
18.40000 1.00000 0.00000 0.900640172384755 -0.434565622071926
18.60000 1.00000 0.00000 0.969022192939041 -0.246973661736655
18.80000 1.00000 0.00000 0.998772356587208 -0.0495356408784029
19.00000 1.00000 0.00000 0.988704618186675 0.149877209662917
19.20000 1.00000 0.00000 0.939220346696883 0.343314928819862
19.40000 1.00000 0.00000 0.852292323865483 0.523065765157666
19.60000 1.00000 0.00000 0.731386095645523 0.681963620068107
19.80000 1.00000 0.00000 0.581321811814468 0.813673737507083
20.00000 1.00000 0.00000 0.408082061813428 0.912945250727612
