# Solution of general relativity problem
# Phi:, inverse r:, derivative of inverse r:, x:, y:
17.00000 1.65632 0.28787 -0.166129068412011 -0.580440951292824
17.20000 1.70098 0.15727 -0.0462545380222654 -0.586072826991828
17.40000 1.71877 0.02062 0.0703664453925897 -0.577541202102917
17.60000 1.70939 -0.11686 0.184711810189041 -0.55507918072113
17.80000 1.67232 -0.24974 0.297763597804525 -0.518562153742849
18.00000 1.60989 -0.37309 0.410161968904803 -0.466482831514887
18.20000 1.52405 -0.48197 0.522523980432187 -0.396859011115937
18.40000 1.41822 -0.57219 0.635051134447762 -0.306416924039758
18.60000 1.29654 -0.64027 0.747393722940287 -0.190487447922842
18.80000 1.16368 -0.68348 0.858289765931663 -0.0425681921755181
19.00000 1.02481 -0.69989 0.964769415868606 0.146248885014521
19.20000 0.88539 -0.68908 1.06079542332289 0.387754488636592
