# Solution of general relativity problem
# Phi:, inverse r:, derivative of inverse r:, x:, y:
9.40000 0.99030 0.49984 -1.00948684989281 0.0250181457147576
9.60000 1.08985 0.49174 -0.903508523690379 -0.159954986563172
9.80000 1.18583 0.46409 -0.784622427055708 -0.309049467410711
10.00000 1.27441 0.41792 -0.658401795987312 -0.426881933246879
10.20000 1.35203 0.35504 -0.528290995860892 -0.517647033197308
10.40000 1.41558 0.27795 -0.396292934530592 -0.584796768131421
10.60000 1.46251 0.18977 -0.263476941982118 -0.630952373902547
10.80000 1.49097 0.09401 -0.130338208230549 -0.657919683837637
11.00000 1.49983 -0.00548 0.00295080387071837 -0.666736632310202
11.20000 1.48876 -0.10475 0.136358584655172 -0.657714730382789
11.40000 1.45820 -0.19984 0.269847387358842 -0.630455296402598
11.60000 1.40935 -0.28698 0.403226835044921 -0.583833581952152
11.80000 1.34416 -0.36267 0.535973031706231 -0.515955003545932
12.00000 1.26520 -0.42388 0.666973864368253 -0.424101953816346
12.20000 1.17563 -0.46814 0.794155903729368 -0.304712561701962
12.40000 1.07905 -0.49368 0.913945957988736 -0.153472366826742
12.60000 0.97933 -0.49951 1.02053295714643 0.0343328400944292
12.80000 0.88043 -0.48546 1.10495275104143 0.262951125567696
13.00000 0.78623 -0.45219 1.15417870238886 0.534409130391235
13.20000 0.70072 -0.40052 1.15008366942045 0.844953015760277
13.40000 0.62693 -0.33317 1.07220050281429 1.18095740777646
13.60000 0.56827 -0.25230 0.900461727295831 1.5118942655174
13.80000 0.52675 -0.16145 0.628029234119522 1.7915411549723
14.00000 0.50410 -0.06417 0.271252816402899 1.96511994834653
14.20000 0.50123 0.03567 -0.125276009180327 1.99116683355078
14.40000 0.51826 0.13409 -0.501324326650302 1.8632617222267
14.60000 0.55453 0.22716 -0.805162787244366 1.61361015348916
14.80000 0.60857 0.31116 -1.01113813973724 1.29524419113881
15.00000 0.67821 0.38277 -1.12014117457625 0.95883345352323
15.20000 0.76068 0.43916 -1.14862409595656 0.639424981570336
15.40000 0.85279 0.47784 -1.11745936108462 0.355445100444769
15.60000 0.95071 0.49763 -1.04572515168185 0.113340615943051
15.80000 1.05062 0.49757 -0.947792016734639 -0.0874788235254634
16.00000 1.14848 0.47745 -0.833845894600715 -0.250680960796218
16.20000 1.24042 0.43836 -0.710543708249338 -0.38085653199376
16.40000 1.32276 0.38181 -0.582075563270568 -0.482404429375822
16.60000 1.39222 0.31001 -0.450953387496834 -0.559071093954057
16.80000 1.44603 0.22584 -0.318581538384579 -0.613795558779295
17.00000 1.48204 0.13266 -0.185664730042723 -0.648696905109063
17.20000 1.49884 0.03417 -0.0524927386807826 -0.665114582711443
17.40000 1.49575 -0.06570 0.0808581578769129 -0.663653214817323
17.60000 1.47289 -0.16299 0.214370525539605 -0.644206862384709
17.80000 1.43105 -0.25377 0.347966479311622 -0.605991626486886
18.00000 1.37193 -0.33436 0.481303585403717 -0.547393167476975
18.20000 1.29801 -0.40161 0.613516110340894 -0.465967890415667
18.40000 1.21222 -0.45284 0.742966325712462 -0.358486811283163
18.60000 1.11797 -0.48604 0.866771394186556 -0.220913108771603
18.80000 1.01899 -0.49990 0.980157473247652 -0.0486124073006811
19.00000 0.91926 -0.49356 1.07554671324423 0.16304155687956
19.20000 0.82278 -0.46759 1.14152364127207 0.417263221594144
