11.2 21.0663189779493  23.6468900567035 18.7673640895919
11.3 20.70992601943  23.2634826973011 18.4366649358147
11.4 20.3595623981202  22.8862918510592 18.1117930218026
11.5 20.015126111704  22.5152167243053 17.7926456659403
11.6 19.6765168835065  22.1501581576211 17.4791219959621
11.7 19.3436361333  21.7910185993454 17.1711229170697
11.8 19.0163869486046  21.4377020795058 16.8685510806109
11.9 18.6946740564731  21.0901141841737 16.5713108533112
12 18.3784037957544  20.7481620302346 16.2793082870473
12.1 18.0674840898254  20.411754240568 15.9924510891529
12.2 17.7618244197846  20.0808009196289 15.7106485932478
12.3 17.4613357980993  19.7552136294263 15.4338117305815
12.4 17.165930742698  19.4349053658903 15.1618530018813
12.5 16.8755232515017  19.1197905356229 14.8946864496963
12.6 16.5900287773859  18.8097849330251 14.6322276312294
12.7 16.3093642035664  18.5048057177962 14.3743935916476
12.8 16.0334478194007  18.2047713927961 14.1211028378621
12.9 15.7621992965998  17.909601782268 13.8722753127718
13 15.495539665842  17.6192180104138 13.627832369959
13.1 15.2333912937822  17.3335424803162 13.3876967488324
13.2 14.9756778604502  17.0524988532036 13.1517925502071
13.3 14.7223243370319  16.7760120280507 12.9200452123154
13.4 14.4732569640254  16.5040081215093 12.6923814872404
13.5 14.2284032297675  16.2364144481657 12.4687294177643
13.6 13.9876918493232  15.9731595011174 12.2490183146255
13.7 13.7510527437322  15.7141729328646 12.0331787341756
13.8 13.5184170196067  15.4593855365121 11.8211424564306
13.9 13.2897169490743  15.2087292272754 11.6128424635089
14 13.0648859500601  14.9621370242875 11.4082129184488
14.1 12.8438585669025  14.7195430326995 11.2071891443998
14.2 12.6265704512971  14.4808824260723 11.0097076041802
14.3 12.4129583435624  14.246091429054 10.8157058801951
14.4 12.2029600542234  14.0151073003368 10.6251226547081
14.5 11.9965144459057  13.787868315892 10.4378976904607
14.6 11.7935614155367  13.5643137524754 10.2539718116335
14.7 11.5940418768474  13.3443838714014 10.0732868851422
14.8 11.3978977431707  13.1280199025785 9.89578580226404
14.9 11.2050719105304  12.9151640288057 9.72141246058714
